ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
ARP,Aragip Airport;Aragip#Papua New Guinea!Asia
AUX,Araguaina Airport;Araguaina#Brazil!South America
AXC,Aramac Airport;Aramac#Australia!Oceania
ADI,Arandis Airport;Arandis#Namibia!Africa
AAK,Aranuka Airport;Aranuka#Kiribati!Oceania
AHF,Arapahoe Municipal Airport;Arapahoe#United States!North America
APQ,Arapiraca Airport;Arapiraca#Brazil!South America
APX,Arapongas Airport;Arapongas#Brazil!South America
AAG,Arapoti Airport;Arapoti#Brazil!South America
RAE,Arar Airport;Arar#Saudi Arabia!Middle East
ACR,Araracuara Airport;Araracuara#Colombia!South America
AQA,Araraquara Airport;Araraquara#Brazil!South America
ARY,Ararat Airport;Ararat#Australia!Oceania
RKA,Aratika-Nord Airport;Aratika#French Polynesia!Oceania
AUC,Arauca Airport;Arauca#Colombia!South America
ARQ,Arauquita Airport;Arauquita#Colombia!South America
RAW,Arawa Airport;Arawa#Papua New Guinea!Asia
AAX,Araxa Airport;Araxa#Brazil!South America
AMH,Arba Mintch Airport;Arba Mintch#Ethiopia!Africa
ARO,Arboletas Airport;Arboletas#Colombia!South America
ACV,Arcata-Eureka Airport;Arcata#United States!North America
YAB,Arctic Bay Airport;Arctic Bay#Canada!North America
ARC,Arctic Village Airport;Arctic Village#United States!North America
ADU,Ardabil Airport;Ardabil#Iran!Asia
AMZ,Ardmore Airport;Ardmore#New Zealand!Oceania
ADM,Ardmore Municipal Airport;Ardmore#United States!North America
AHD,Ardmore Downtown Airport;Ardmore#United States!North America
ARE,Arecibo Airport;Arecibo#Puerto Rico!Caribbean
AQP,Rodriguez Ballon International Airport;Arequipa#Peru!South America
NWP,Naval Station;Argentia#Canada!North America
GYL,Argyle Airport;Argyle#Australia!Oceania
AGY,Argyle Downs Airport;Argyle Downs#Australia!Oceania
XAR,Aribinda Airport;Aribinda#Burkina Faso!Africa
ACM,Arica Airport;Arica#Colombia!South America
ARI,Chacalluta Airport;Arica#Chile!South America
AIR,Aripuana Airport;Aripuana#Brazil!South America
AQM,Ariquemes Airport;Ariquemes#Brazil!South America
AYK,Arkalyk Airport;Arkalyk#Kazakhstan!Asia
ARH,Talagi Airport;Arkhangelsk#Russian Federation!Europe
JLH,United States Army Heliport;Arlington Heights#United States!North America
RLT,Arlit Airport;Arlit#Niger!Africa
ARL,Arly Airport;Arly#Burkina Faso!Africa
AXM,El Eden Airport;Armenia#Colombia!South America
ARM,Armidale Airport;Armidale#Australia!Oceania
YYW,Armstrong Airport;Armstrong#Canada!North America
YNR,Arnes Airport;Arnes#Canada!North America
AOA,Aroa Airport;Aroa#Papua New Guinea!Asia
AON,Arona Airport;Arona#Papua New Guinea!Asia
