iata,name;city#countryName!regionName
BJM,Bujumbura International Airport;Bujumbura#Burundi!Africa
SHW,Sharurah Airport;Sharurah#Saudi Arabia!Middle East
EJA,Variguies Airport;Barrancabermeja#Colombia!South America
SXP,Sheldon Sea Plane Base;Sheldon Point#United States!North America
AUC,Arauca Airport;Arauca#Colombia!South America
UYL,Nyala Airport;Nyala#Sudan!Africa
PTH,Port Heiden Airport;Port Heiden#United States!North America
GRI,Grand Island Airport;Grand Island#United States!North America
YZZ,Trail;Trail#Canada!North America
MTS,Matsapha International Airport;Manzini#Swaziland!Africa
OCC,Coca Airport;Coca#Ecuador!South America
YGK,Kingston/Norman Rogers Airport;Kingston#Canada!North America
REN,Orenburg Airport;Orenburg#Russian Federation!Europe
RUA,Arua Airport;Arua#Uganda!Africa
SBN,South Bend Regional;South Bend#United States!North America
ABX,Albury Airport;Albury#Australia!Oceania
GGM,Kakamega Airport;Kakamega#Kenya!Africa
YOP,Rainbow Lake Airport;Rainbow Lake#Canada!North America
GYD,Heydar Aliyev International Airport;Baku#Azerbaijan!Asia
DPS,Ngurah Rai International Airport;Denpasar#Indonesia!Asia
MAO,Eduardo Gomes International Airport;Manaus#Brazil!South America
PNQ,Pune Airport;Pune#India!Asia
BQS,Blagoveschensk Airport;Blagoveschensk#Russian Federation!Europe
BIR,Biratnagar Airport;Biratnagar#Nepal!Asia
MGA,Augusto C Sandino International Airport;Managua#Nicaragua!Central America
HAE,Havasupai Airport;Havasupai#United States!North America
KMJ,Kumamoto Airport;Kumamoto#Japan!Asia
IFO,Ivano-Frankovsk Airport;Ivano-Frankovsk#Ukraine!Europe
GDT,JAGS McCartney International Airport;Grand Turk Island#Turks and Caicos Islands!Caribbean
GIB,North Front Airport;Gibraltar#Gibraltar!Europe
BEN,Benina International Airport;Benghazi#Libya!Africa
SMR,Simon Bolivar International Airport;Santa Marta#Colombia!South America
CAC,Cascavel Airport;Cascavel#Brazil!South America
KME,Kamembe Airport;Kamembe#Rwanda!Africa
INN,Innsbruck Airport;Innsbruck#Austria!Europe
BTI,Barter Island Airport;Barter Island#United States!North America
DAB,Daytona Beach International Airport;Daytona Beach#United States!North America
BVC,Rabil Airport;Boa Vista#Cape Verde!Africa
LYH,Preston-Glenn Field;Lynchburg#United States!North America
VCA,Can Tho Airport;Can Tho#Viet Nam!Asia
SOV,Seldovia Airport;Seldovia#United States!North America
HMB,Mubarak International Airport;Sohag#Egypt!Middle East
JFK,John F. Kennedy International Airport;New York#United States!North America
SDF,Louisville International Airport;Louisville#United States!North America
GOQ,Golmud Airport;Golmud#China!Asia
TBH,Tugdan Airport;Barangay Tugdan#Philippines!Asia
LGA,LaGuardia Airport;New York#United States!North America
MEE,Mare Airport;Mare#New Caledonia!Oceania
NOJ,Nojabrxsk Airport;Nojabrxsk#Russian Federation!Europe
YTL,Big Trout Airport;Big Trout#Canada!North America
IWA,Ivanovo Airport;Ivanovo#Russian Federation!Europe
YKU,Chisasibi Airport;Chisasibi#Canada!North America
LIH,Lihue Airport;Kauai Island#United States!North America
DBB,Al Alamain International Airport;Dabaa#Egypt!Middle East
OKT,Oktiabrskij Airport;Oktiabrskij#Russian Federation!Europe
NEF,Neftekamsk Airport;Neftekamsk#Russian Federation!Europe
JCH,Qasigiannguit Airport;Qasigiannguit#Greenland!North America
SIF,Simara Airport;Simara#Nepal!Asia
OVB,Novosibirsk Tolmachevo Airport;Novosibirsk#Russian Federation!Europe
CWB,Afonso Pena International Airport;Curitiba#Brazil!South America
TLL,Tallinn Airport;Tallinn#Estonia!Europe
TWT,Sanga Sanga Airport;Bongao#Philippines!Asia
JHW,Jamestown Airport;Jamestown#United States!North America
TRS,Trieste – Friuli Venezia Giulia Airport;Trieste#Italy!Europe
SNU,Santa Clara Airport;Santa Clara#Cuba!Caribbean
GNB,Grenoble-Isere Airport;Grenoble#France!Europe
HAQ,Hanimaadhoo Airport;Hanimaadhoo#Maldives!Asia
CPA,A. Tubman Airport;Cape Palmas#Liberia!Africa
EAE,Emae Airport;Emae#Vanuatu!Oceania
ANF,Cerro Moreno International Airport;Antofagasta#Chile!South America
NCY,Annecy-Meythet Airport;Annecy#France!Europe
LOH,Loja Airport;Loja#Ecuador!South America
FAT,Fresno Yosemite International Airport;Fresno#United States!North America
EWR,Newark Liberty International Airport;Newark#United States!North America
SCV,Suceava Airport;Suceava#Romania!Europe
SGU,Saint George Municipal Airport;Saint George#United States!North America
SPS,Sheppard Air Force Base;Wichita Falls#United States!North America
JCU,Ceuta Heliport;Ceuta#Spain and Canary Islands!Europe
WRL,Worland Airport;Worland#United States!North America
GRO,Girona-Costa Brava Airport;Girona#Spain and Canary Islands!Europe
WMK,Meyers Chuck Sea Plane Base;Meyers Chuck#United States!North America
BZK,Bryansk International Airport;Bryansk#Russian Federation!Europe
HAU,Haugesund Airport;Haugesund#Norway!Europe
LEQ,Lands End Airport;Lands End#United Kingdom!Europe
MBL,Blacker Airport;Manistee#United States!North America
