iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
UTD,Nutwood Downs Airport,Nutwood Downs,Australia,Oceania,9.5,-15.816667,134.166667
VAB,Yavarate Airport,Yavarate,Colombia,South America,-5,1.116667,-70.75
VAP,Valparaiso Airport,Valparaiso,Chile,South America,-3,-33.033333,-71.666667
VAU,Vatukoula Airport,Vatukoula,Fiji,Oceania,12,-17.5,177.866667
VAZ,Val D'Isere Airport,Val D'Isere,France,Europe,2,45.45,6.983333
VCB,View Cove Airport,View Cove,United States,North America,-8,55.083333,-133.016667
VCC,Limbe Airport,Limbe,Cameroon,Africa,1,4.016667,9.2
UOL,Pogogul Airport,Buol,Indonesia,Asia,8,1.104373,121.416029
VDU,Tom O'Connor Oil Field Airport,Refugio,United States,North America,-5,28.3,-97.283333
VEG,Maikwak Airport,Maikwak,Guyana,South America,-4,5.55,-59.283333
VEJ,Vejle Airport,Vejle,Denmark,Europe,2,55.7,9.533333
VEV,Barakoma Airport,Barakoma,Solomon Islands,Oceania,11,-7.85,159.55
VGS,General Villegas Airport,General Villegas,Argentina,South America,-3,-35.083333,-63
VJQ,Gurue Airport,Gurue,Mozambique,Africa,2,-15.416667,36.966667
VKW,West Kavik Airport,West Kavik,United States,North America,-8,69.766667,-146.916667
VLE,J. T. Robidoux Airport,Valle,United States,North America,-7,35.65,-112.183333
VLK,Volgodonsk Airport,Volgodonsk,Russian Federation,Europe,3,47.683333,42.083333
VLO,Stolport Airport,Vallejo,United States,North America,-7,38.116667,-122.233333
VLU,Velikiye Luki Airport,Velikiye Luki,Russian Federation,Europe,3,56.383333,30.616667
VNG,Viengxay Airport,Viengxay,Lao People's Democratic Republic,Asia,7,18.933333,102.5
VOI,Voinjama Airport,Voinjama,Liberia,Africa,0,8.416667,-9.75
VRO,Kawama Airport,Matanzas,Cuba,Caribbean,-4,23.133333,-81.3
VSO,Phuoc-long Airport,Phuoc-long,Viet Nam,Asia,7,9.433333,105.466667
GKN,Gulkana Airport,Gulkana,United States,North America,-8,62.155278,-145.452222
VTA,Victoria Airport,Victoria,Honduras,Central America,-6,14.95,-87.4
VTF,Vatulele Airport,Vatulele,Fiji,Oceania,12,-18.55,177.616667
VTG,Vung Tau Airport,Vung Tau,Viet Nam,Asia,7,10.374444,107.091111
WAB,Wabag Airport,Wabag,Papua New Guinea,Asia,10,-5.483333,143.733333
WAD,Andriamena Airport,Andriamena,Madagascar,Africa,3,-17.45,47.516667
IPU,Ipiau Airport,Ipiau,Brazil,South America,-3,-14.133333,-39.733333
IPW,Ipswich Airport,Ipswich,United Kingdom,Europe,1,52.066667,1.166667
IRB,Iraan Municipal Airport,Iraan,United States,North America,-5,30.7,-101.933333
